# pattern	okipona	truth	rationale	hotwords
agent/budget-bounds-exploration	mani	分	Budget Bounds Exploration -> mani/分: Budgets convert open-ended search into bounded decisions, making progress measurable and preventing silent resource drain.	budget, bounds, exploration, agent, budgets, convert, open, ended, search, bounded
agent/commitment-varies-with-confidence	lukin	认	Commitment Varies With Confidence -> lukin/认: Variable commitment adapts behavior to epistemic state. The agent exploits when it knows enough and explores (or asks) when it doesn't.	commitment, varies, confidence, agent, variable, adapts, behavior, epistemic, state, exploits
agent/coordination-has-cost	kulupu	功	Coordination Has Cost -> kulupu/功: Cost-aware coordination prevents both under-use (never asking for help when stuck) and over-use (constant interruption). It respects the resources of collaborators.	coordination, cost, agent, aware, prevents, both, under, use, never, asking
agent/environment-over-optimization			Environment Over Optimization -> unknown/unknown: Viable environments enable open-ended evolution. Instead of one optimal agent, you get a population of approaches that can be compared, combined, and adapted. The environment becomes the product, not any single agent.	environment, over, optimization, agent, viable, environments, enable, open, ended, evolution
agent/escalation-cost-vs-risk	wawa	平	Escalation Cost vs Risk -> wawa/平: This preserves speed on low-stakes actions while protecting high-stakes decisions.	escalation, cost, vs, risk, agent, preserves, speed, low, stakes, actions
agent/evidence-over-assertion	lipu	示	Evidence Over Assertion -> lipu/示: Evidence transforms agent output from "trust me" to "check this." It enables verification, correction, and cumulative trust-building.	evidence, over, assertion, agent, transforms, output, trust, me, check, enables
agent/handoff-preserves-context	pana	代	Handoff Preserves Context -> pana/代: Handoffs convert ephemeral session state into persistent project state. They enable distributed and asynchronous work without context collapse.	handoff, preserves, context, agent, handoffs, convert, ephemeral, session, state, persistent
agent/intent-handshake-is-binding	ona	令	Intent Handshake Is Binding -> ona/令: Binding intent makes the run auditable and prevents silent goal drift.	intent, handshake, binding, agent, makes, run, auditable, prevents, silent, goal
agent/pause-is-not-failure	lape	不	Pause Is Not Failure -> lape/不: Pausing surfaces uncertainty to those who can resolve it. An agent that pauses appropriately is more trustworthy than one that always "succeeds."	pause, failure, agent, pausing, surfaces, uncertainty, those, who, resolve, pauses
agent/provisional-claims-ledger	lipu	未	Provisional Claims Ledger -> lipu/未: A ledger turns uncertainty into actionable follow-up rather than silent drift.	provisional, claims, ledger, agent, turns, uncertainty, actionable, follow, up, rather
agent/scope-before-action	supa	内	Scope Before Action -> supa/内: Declared scope makes progress measurable, side effects auditable, and completion definable. It also protects the broader system from unintended changes.	scope, before, action, agent, declared, makes, progress, measurable, side, effects
agent/sense-deliberate-act	sike	工	Sense-Deliberate-Act Cycle -> sike/工: The three-phase structure prevents both impulsive drift and endless deliberation, and makes the agent's reasoning inspectable at phase boundaries.	sense, deliberate, act, cycle, agent, three, phase, structure, prevents, both
agent/state-is-hypothesis	insa	计	State Is Hypothesis -> insa/计: Hypothesis-framed state makes the agent self-correcting: surprises trigger learning rather than denial or breakdown.	state, hypothesis, agent, framed, makes, self, correcting, surprises, trigger, learning
agent/trail-enables-return	nasin	归	Trail Enables Return -> nasin/归: Trails convert ephemeral navigation into persistent structure. They enable learning, debugging, and graceful recovery.	trail, enables, return, agent, trails, convert, ephemeral, navigation, persistent, structure
ai4ci/ai-core-function	sama	未	AI Incorporation — Core Function -> sama/未: This deployment keeps AI in the role of suggestion engine while ensuring that every retained explanation has a traceable record and a human steward, turning dispersed expository text into candidate reasoning scaffolds that future training-oriented AI could build on.	ai, incorporation, core, function, ai4ci, deployment, keeps, role, suggestion, engine
ai4ci/ai-method-role	sama	未	AI Incorporation — Methodological Role -> sama/未: Methodological validity in this setting depends on showing that human judgement governs every explanation and that the resulting log reveals which explanation types AI handles reliably and which remain beyond its current competence.	ai, incorporation, methodological, role, ai4ci, method, validity, setting, depends, showing
ai4ci/collective-intelligence-evaluation	palisa	上	Collective Intelligence — Evaluative Lens -> palisa/上: Collective intelligence is evidenced when diverse readers reach a workable shared understanding of the argument; only structured discussion around common artefacts can reveal whether the extracted reasoning cues support this outcome.	collective, intelligence, evaluative, lens, ai4ci, evaluation, evidenced, when, diverse, readers
ai4ci/collective-intelligence-framing	jelo	仁	Collective Intelligence — Communication Framing -> jelo/仁: Collective intelligence depends on inspectable, cross-referenced intermediate artefacts; without them, seminars slide back into folklore and private interpretations instead of testing and refining the shared reasoning layer.	collective, intelligence, communication, framing, ai4ci, depends, inspectable, cross, referenced, intermediate
ai4ci/dual-layer-proof-patterns	toki	二	Dual-Layer Proof Patterns as a Feasibility Question -> toki/二: Human-validated cue logs and coded seminar transcripts provide evidence—not speculation—about which pattern fragments are stable, which are fragile, and what methodological constraints govern scalability.	dual, layer, proof, patterns, feasibility, question, ai4ci, human, validated, cue
ai4ci/funding-justification	kulupu	匀	Funding Justification — Rapid-Response Pilot Scale -> kulupu/匀: Reviewers need to see that the funds unlock a focused test of the reasoning-layer hypothesis, not an open-ended attempt to build a new platform.	funding, justification, rapid, response, pilot, scale, ai4ci, reviewers, need, see
ai4ci/pilot-feasibility	poka	六	Feasibility — Six-Month Pilot Discipline -> poka/六: Dhammavicaya (keen investigation) in this context demands evidence that the pilot answers a clear methodological question—whether a recoverable reasoning layer exists—rather than attempting production-grade systems.	feasibility, six, month, pilot, discipline, ai4ci, dhammavicaya, keen, investigation, context
ai4ci/process-vs-exposition	tu	才	Process and Exposition as Complementary Evidence -> tu/才: Process cues reveal the reasoning that originally generated the proof, while expository cues reveal how experts communicate that reasoning to others; the combination provides the richest available evidence for reconstructing mid-level structure without requiring access to the original scratch work.	process, exposition, complementary, evidence, ai4ci, vs, cues, reveal, reasoning, originally
ai4ci/project-summary-core	poka	才	AI4CI — Mid-Level Reasoning Pilot -> poka/才: Once we know whether a stable mid-level reasoning layer can be captured from exposition—and where it breaks down—we can state clearly what kind of process-level data will be needed for future AI that aims to train humans, and what cannot be obtained from textual traces alone.	ai4ci, mid, level, reasoning, pilot, project, summary, core, once, know
ai4ci/proof-pattern-hierarchy	li	今	Proof Patterns as a Hypothesised Mid-Level Hierarchy -> li/今: If such fragments can be identified and linked to specific objects and steps, they provide the first empirical foothold on an underlying proof- pattern hierarchy, even if only at a local scale. If they cannot, this reveals real limits on what present methods can recover.	proof, patterns, hypothesised, mid, level, hierarchy, ai4ci, pattern, such, fragments
ai4ci/sota-distinction	palisa	未	Distinguishing This Project from Current Mathematical AI SOTA -> palisa/未: Explanation and understanding depend on reconstructing intermediate motivations and relationships, not on producing correct final answers. Current SOTA models offer limited guidance here, leaving a gap that this pilot is uniquely positioned to explore.	distinguishing, project, current, mathematical, ai, sota, ai4ci, distinction, explanation, understanding
ai4ci/technical-grounding	lawa	了	Technical Grounding — From NER/RE to Informal Structure -> lawa/了: This isolates the real research question—whether human-recognisable reasoning structure can be recovered from exposition—from the underlying engineering, avoiding overclaim about what current NLP can deliver on its own.	technical, grounding, ner, re, informal, structure, ai4ci, isolates, real, research
ai4ci/umbrella	tawa	支	AI4CI — Human-Centred Future of AI -> tawa/支: Only by making this tacit reasoning layer explicit can we both deepen our scientific understanding of how humans communicate complex thinking and provide the process-level structures that future AI will need in order to help people build expertise rather than merely reproduce correct answers.	ai4ci, human, centred, future, ai, umbrella, only, making, tacit, reasoning
aif/belief-state-operational-hypotheses	linja	双	Belief State as Operational Hypotheses -> linja/双: A compact belief state makes predict -> observe -> update implementable and testable.	belief, state, operational, hypotheses, aif, compact, makes, predict, observe, update
aif/candidate-pattern-action-space	ken	力	Candidate Pattern Action Space -> ken/力: Constraining the action space makes downstream scoring meaningful rather than performative.	candidate, pattern, action, space, aif, constraining, makes, downstream, scoring, meaningful
aif/evidence-precision-registry	taso	由	Evidence Precision Registry -> taso/由: Making precision explicit turns trust into a tunable control surface rather than an undocumented bias.	evidence, precision, registry, aif, making, explicit, turns, trust, tunable, control
aif/expected-free-energy-scorecard	lili	专	Expected Free Energy as Multi-Term Scorecard -> lili/专: A decomposed G makes disagreements concrete (which term dominated) and enables targeted adjustment.	expected, free, energy, multi, term, scorecard, aif, decomposed, g, makes
aif/policy-precision-commitment-temperature	moku	由	Policy Precision as Commitment Temperature -> moku/由: A single commitment dial allows systematic control of stochasticity without changing the scoring model.	policy, precision, commitment, temperature, aif, single, dial, allows, systematic, control
aif/structured-observation-vector	ilo	了	Structured Observation Vector -> ilo/了: A stable observation vector is the prerequisite for meaningful precision control and policy scoring.	structured, observation, vector, aif, stable, prerequisite, meaningful, precision, control, policy
aif/term-to-channel-traceability	tawa	功	Term-to-Channel Traceability -> tawa/功: Explicit term-to-channel linkage prevents semantic drift in scoring terms and makes policy behavior mechanically inspectable.	term, channel, traceability, aif, explicit, linkage, prevents, semantic, drift, scoring
ants/baseline-cyber-ant	taso	三	Baseline Cyber-AIF Ant -> taso/三: Once the narrative and fixtures exist as pattern assets, Futon5 can attach a `:cyber/baseline` operator that emits an AIF config identical to Futon2’s defaults, making cyber-ants “pattern flashed” twins of the current species.	baseline, cyber, aif, ant, ants, once, narrative, fixtures, exist, pattern
ants/cargo-return-discipline	supa	归	Cargo Return Discipline Pattern -> supa/归: The same logic applies to graph walkers (deliver package, reward commit) or any pattern that alternates gather/deliver phases.	cargo, return, discipline, pattern, ants, same, logic, applies, graph, walkers
ants/hunger-precision-coupling	sewi	六	Hunger ↔ Precision Coupling Pattern -> sewi/六: Futon5 needs those declarative mappings to export a faithful cyber-ant affect config; otherwise the new agents would drift away from the proven hunger dynamics.	hunger, precision, coupling, pattern, ants, futon5, needs, those, declarative, mappings
ants/pheromone-trail-tuner	kin	去	Adaptive Trail Tuner Pattern -> kin/去: The same principle applies to graph walkers emitting hints or proofs: you want signaling to adapt to novelty and resource pressure.	adaptive, trail, tuner, pattern, ants, pheromone, same, principle, applies, graph
ants/white-space-scout	loje	刊	White-Space Scout Pattern -> loje/刊: Futon5 needs the declarative rule (“white space implies scout stance”) so it can flash cyber-ants or future agents with the same homing instinct.	white, space, scout, pattern, ants, futon5, needs, declarative, rule, implies
code-coherence/dead-code-hygiene	mute	本	Dead Code Hygiene -> mute/本: Dhammavicaya requires that “what the system does” and “what the devmap claims” match; dead code collapses that link.	dead, code, hygiene, coherence, dhammavicaya, requires, what, system, does, devmap
contributing/devmap-contribution-protocol	mute	工	Devmap Contribution Protocol -> mute/工: keeping `next[...]` hooks and futon-level state current is how humans and FUTON3’s coherence checks agree on what changed and what to do next.	devmap, contribution, protocol, contributing, keeping, next, hooks, futon, level, state
contributing/stack-scan-logging-protocol	len	本	Stack Coherence Scan Logging Protocol -> len/本: dhammavicaya demands observable progress; consistent scan logs let us compare runs, tighten feedback loops, and hand future contributors the exact history of what was checked and why.	stack, coherence, scan, logging, protocol, contributing, dhammavicaya, demands, observable, progress
corps/carrying-ones-own-question	pilin	心	Carrying One's Own Question (Apprentice → Independent Investigator) -> pilin/心: Independence is not the absence of supervision; it is the presence of a clearly owned line of inquiry. Making ownership visible strengthens confidence, clarifies expectations, and aligns supervisory teams around the researcher’s judgement.	carrying, one, s, own, question, apprentice, independent, investigator, corps, ones
corps/five-arrows-fit	pali	五	Relationship to existing doctoral training -> pali/五: The five transitions—student to colleague; apprentice to independent investigator; individual contributor to collaborative team member; private learner to public practitioner; project-focused worker to systems-aware researcher—already occur within doctoral pathways, but without a shared framework they are difficult to recognise, support, or evaluate. Making these transitions explicit helps align supervisory expectations with cohort development and with the institutional research culture that doctoral programmes aim to foster.	relationship, existing, doctoral, training, corps, five, arrows, fit, transitions, student
corps/letting-the-trace-teach	pana	文	Letting the Trace Teach (Private Learning → Public-Facing Identity) -> pana/文: Public-facing traces signal identity and invite collaboration; they provide low-risk entry points for others to understand, support, or extend the researcher’s work while helping the researcher build confidence as a contributor.	letting, trace, teach, private, learning, public, facing, identity, corps, traces
corps/seeing-the-surrounding-conditions	ale	田	Seeing the Surrounding Conditions (Project → System) -> ale/田: Systems-level awareness improves decision quality, anticipates bottlenecks, and prepares researchers for future roles with broader responsibility by teaching how individual work affects the collective environment.	seeing, surrounding, conditions, project, system, corps, systems, level, awareness, improves
corps/standing-in-the-circle	ona	仁	Standing in the Circle (Student → Colleague) -> ona/仁: Explicit reasoning creates recognition: supervisors and peers can respond at the appropriate level, collaboration becomes more mature, and the researcher internalises professional discourse norms that move them from student to colleague.	standing, circle, student, colleague, corps, explicit, reasoning, creates, recognition, supervisors
